#At time x allocated y bytes for process z from i to j
At time 1 allocated 1 bytes for process 13 from 0 to 15
At time 1 allocated 2 bytes for process 29 from 32 to 63
At time 1 allocated 3 bytes for process 50 from 64 to 127
At time 1 allocated 4 bytes for process 120 from 128 to 255
At time 1 allocated 5 bytes for process 22 from 256 to 287
At time 1 allocated 6 bytes for process 5 from 16 to 23
At time 1 allocated 7 bytes for process 3 from 24 to 27
At time 9 freed 29 bytes for process 2 from 32 to 63
At time 17 freed 22 bytes for process 5 from 256 to 287
At time 27 freed 5 bytes for process 6 from 16 to 23
At time 32 freed 120 bytes for process 4 from 128 to 255
At time 44 freed 13 bytes for process 1 from 0 to 15
At time 53 freed 50 bytes for process 3 from 64 to 127
At time 59 freed 3 bytes for process 7 from 24 to 27
